t   links   init                                
c   fr  to  len mode    type    lanes   vdfunc  ul1 ul2 ul3
a   100020  101014  0.26    a   900 5   13  1   10000   900
a   100030  101035  0.2 a   900 5   13  2   10000   900
a   100050  101052  0.2 a   900 5   13  3   10000   900
a   100050  101062  0.2 a   900 5   13  4   10000   900
a   100080  101064  0.34    a   900 5   13  5   10000   900
a   100090  101094  0.2 a   900 5   13  6   10000   900
a   100120  101043  0.2 a   900 5   12  7   10000   900
a   100140  101103  0.2 a   900 5   13  8   10000   900
a   100170  101174  0.2 a   900 5   13  9   10000   900
a   100200  101204  0.17    a   900 1   12  10  2000    900
a   100200  101207  0.26    a   900 5   12  11  10000   900
a   100210  101212  0.28    a   900 5   12  12  10000   900
a   100230  101238  0.2 a   900 5   12  13  10000   900
a   100250  101263  0.26    a   900 5   12  14  10000   900
a   100300  101274  0.2 a   900 5   13  15  10000   900
a   100320  101292  0.22    a   900 1   12  16  2000    900
a   100320  101305  0.22    a   900 5   12  17  10000   900
a   100330  101304  0.22    a   900 5   12  18  10000   900
a   100350  101323  0.2 a   900 5   12  19  10000   900
a   100370  101339  0.2 a   900 5   12  20  10000   900
a   100380  101285  0.42    a   900 5   12  21  10000   900
a   100380  101352  0.2 a   900 5   12  22  10000   900
a   100390  101363  0.83    a   900 5   11  23  10000   900
a   100420  101384  0.3 a   900 5   13  24  10000   900
a   100440  101413  0.31    a   900 5   12  25  10000   900
a   100460  101433  0.23    a   900 5   12  26  10000   900
a   100470  101374  0.21    a   900 5   12  27  10000   900
a   100510  101372  0.32    a   900 5   12  28  10000   900
a   100510  101482  0.2 a   900 5   12  29  10000   900
a   100520  101453  0.7 a   342 5   12  30  10000   342
a   100520  101493  0.49    a   342 5   12  31  10000   342
a   100530  101502  0.39    a   900 5   12  32  10000   900
a   100570  101462  0.67    a   900 5   12  33  10000   900
a   100580  101416  0.94    a   900 5   13  34  10000   900
a   100600  101565  0.31    a   900 5   12  35  10000   900
a   100620  101582  0.2 a   900 5   12  36  10000   900
a   100670  101632  0.2 a   900 5   13  37  10000   900
a   100670  101634  0.2 a   900 5   13  38  10000   900
a   100710  101656  0.42    a   443 5   12  39  10000   443
a   100730  101656  0.75    a   900 5   12  40  10000   900
a   100780  101723  0.31    a   900 5   11  41  10000   900
a   100790  101692  0.31    a   900 5   12  42  10000   900
a   100840  101784  0.2 a   900 5   12  43  10000   900
a   100880  101813  0.2 a   900 5   12  44  10000   900
a   101000  101893  0.2 a   900 5   12  45  10000   900
a   101110  103023  0.45    a   900 5   12  46  10000   900
a   101110  103033  0.29    a   900 5   11  47  10000   900
a   101150  104142  0.38    a   122 5   12  48  10000   122
a   101820  104024  0.59    a   900 1   11  49  2000    900
a   101820  104037  0.38    a   900 5   11  50  10000   900
a   101910  104234  0.44    a   112 5   12  51  10000   112
a   102400  102013  0.56    a   900 5   12  52  10000   900
a   102430  102044  0.21    a   900 5   11  53  10000   900
a   102430  163909  0.37    a   900 5   11  54  10000   900
a   102500  102042  0.3 a   900 5   11  55  10000   900
a   102520  102152  0.54    a   900 5   12  56  10000   900
a   102630  300013  0.75    a   900 5   12  57  10000   900
a   102850  102453  0.52    a   900 5   11  58  10000   900
a   102850  163915  0.57    a   900 5   11  59  10000   900
a   102860  102445  0.27    a   900 5   12  60  10000   900
a   102860  102446  0.2 a   900 5   12  61  10000   900
a   102920  163925  0.46    a   900 5   11  62  10000   900
a   102970  102552  0.5 a   900 5   11  63  10000   900
a   103010  102563  0.51    a   900 5   11  64  10000   900
a   103110  163959  0.38    a   900 5   11  65  10000   900
a   103200  184014  0.2 a   900 5   12  66  10000   900
a   103210  184066  0.2 a   900 5   12  67  10000   900
a   103220  184042  0.3 a   900 5   12  68  10000   900
a   103240  184052  0.35    a   900 5   12  69  10000   900
a   103250  184064  0.27    a   900 5   12  70  10000   900
a   103260  183034  0.49    a   900 5   12  71  10000   900
a   103260  184065  0.41    a   900 5   12  72  10000   900
a   103300  184093  0.28    a   900 5   12  73  10000   900
a   103300  184132  0.35    a   900 5   12  74  10000   900
a   103310  184092  0.43    a   900 5   12  75  10000   900
a   103310  300000  0.36    a   900 5   12  76  10000   900
a   103330  184132  0.2 a   900 5   12  77  10000   900
a   103331  184213  0.48    a   900 5   12  78  10000   900
a   103340  184072  0.36    a   900 5   12  79  10000   900
a   103360  184174  0.2 a   900 5   12  80  10000   900
a   103380  184172  0.6 a   900 5   12  81  10000   900
a   103380  184183  0.2 a   900 5   12  82  10000   900
a   103400  184024  0.3 a   900 5   12  83  10000   900
a   103410  184212  0.46    a   900 5   12  84  10000   900
a   103410  184222  0.2 a   900 5   12  85  10000   900
a   103430  300061  0.48    a   900 5   11  86  10000   900
a   103510  184252  0.23    a   900 5   12  87  10000   900
a   103520  184193  0.37    a   900 5   12  88  10000   900
a   103530  184273  0.2 a   900 5   12  89  10000   900
a   103550  184283  0.31    a   900 5   11  90  10000   900
a   103550  300418  0.22    a   900 5   11  91  10000   900
a   103620  184304  0.31    a   900 5   12  92  10000   900
a   103630  184333  0.29    a   900 5   11  93  10000   900
a   103650  184306  0.37    a   900 5   11  94  10000   900
a   103700  184362  0.2 a   900 5   12  95  10000   900
a   103720  184382  0.2 a   900 5   12  96  10000   900
a   103820  183033  0.27    a   900 5   12  97  10000   900
a   103820  184063  0.27    a   900 5   12  98  10000   900
a   103830  183032  0.45    a   900 5   11  99  10000   900
a   103850  183063  0.31    a   900 5   11  100 10000   900
a   103850  183082  0.42    a   900 5   11  101 10000   900
a   103860  183072  0.26    a   900 5   11  102 10000   900
a   103880  183093  0.77    a   900 5   12  103 10000   900
a   103900  184182  0.41    a   900 5   12  104 10000   900
a   103910  183114  0.27    a   900 5   12  105 10000   900
a   103930  183133  0.59    a   900 5   11  106 10000   900
a   104000  102103  0.91    a   231 5   12  107 10000   231
a   104150  123066  0.57    a   900 5   11  108 10000   900
a   104200  123112  0.2 a   900 5   12  109 10000   900
a   104200  123116  0.66    a   900 5   12  110 10000   900
a   104400  139803  0.73    a   900 5   11  111 10000   900
a   104530  163048  0.2 a   900 5   12  112 10000   900
a   104630  163106  0.26    a   900 5   11  113 10000   900
a   105260  163166  0.8 a   900 5   11  114 10000   900
a   105300  162013  0.26    a   900 5   12  115 10000   900
a   105330  162042  0.68    a   900 5   11  116 10000   900
a   105330  162046  0.67    a   900 5   11  117 10000   900
a   105960  162075  1.13    a   900 5   12  118 10000   900
a   106880  186212  0.51    a   232 5   12  119 10000   232
a   107210  182052  0.53    a   232 5   12  120 10000   232
a   107920  103022  0.62    a   122 5   12  121 10000   122
a   202430  163909  0.2 a   900 5   11  122 10000   900
a   202550  102176  0.29    a   900 5   12  123 10000   900
a   202650  300004  0.92    a   900 5   11  124 10000   900
a   202770  102366  0.63    a   900 5   11  125 10000   900
a   202840  163922  0.28    a   900 5   11  126 10000   900
a   202920  102544  0.26    a   900 5   11  127 10000   900
a   203021  102588  0.2 a   900 5   11  128 10000   900
a   203120  102644  0.6 a   900 5   11  129 10000   900
a   203160  102666  0.74    a   900 5   11  130 10000   900
a   203160  102667  0.98    a   900 5   11  131 10000   900
a   204241  123246  0.2 a   900 5   11  132 10000   900
a   204250  123162  0.43    a   900 5   11  133 10000   900
a   204502  163029  0.27    a   900 5   11  134 10000   900
a   204507  163027  0.57    a   900 5   11  135 10000   900
a   204602  163139  0.2 a   900 5   11  136 10000   900
a   204704  163144  0.24    a   900 5   11  137 10000   900
a   1932    101932  0.15    a   243 2   50  138 2300    243
a   1932    101936  0.13    a   243 2   70  139 4000    243
a   101012  101044  0.53    a   143 3   71  140 4650    143
a   101012  101795  0.61    a   143 3   70  141 6000    143
a   101013  101014  0.08    a   343 2   52  142 1740    343
a   101013  101018  0.12    a   343 2   51  143 2000    343
a   101014  101013  0.08    a   343 2   52  144 1740    343
a   101014  101069  0.1 a   343 1   52  145 870 343
a   101014  500000  0.26    a   900 5   13  146 10000   900
a   101018  101013  0.12    a   343 2   51  147 2000    343
a   101018  101023  0.26    a   343 2   51  148 2000    343
a   101019  101063  0.21    a   343 2   51  149 2000    343
a   101019  101069  0.07    a   343 1   52  150 870 343
a   101023  101018  0.26    a   343 1   51  151 1000    343
a   101023  101027  0.13    a   343 2   51  152 2000    343
a   101025  101026  0.09    a   343 2   52  153 1740    343
a   101025  101882  0.04    a   343 2   51  154 2000    343
a   101026  101025  0.09    a   343 2   52  155 1740    343
a   101026  101027  0.07    a   343 2   52  156 1740    343
a   101027  101023  0.13    a   343 2   51  157 2000    343
a   101027  101026  0.07    a   343 2   52  158 1740    343
a   101028  101029  0.5 a   243 2   51  159 2000    243
a   101028  101902  0.42    a   243 2   51  160 2000    243
a   101029  101028  0.5 a   243 2   51  161 2000    243
a   101029  101882  0.07    a   243 2   51  162 2000    243
a   101032  101034  0.07    a   343 2   52  163 1740    343
a   101032  101113  0.14    a   343 2   52  164 1740    343
a   101033  101032  0.08    a   443 3   52  165 2610    443
a   101034  101032  0.07    a   343 2   52  166 1740    343
a   101034  101035  0.14    a   343 2   52  167 1740    343
a   101034  101053  0.16    a   343 3   52  168 2610    343
a   101035  101034  0.14    a   343 2   52  169 1740    343
a   101035  101052  0.1 a   443 1   52  170 870 443
a   101035  101107  0.2 a   343 1   52  171 870 343
a   101035  500001  0.2 a   900 5   13  172 10000   900
a   101042  101043  0.09    a   343 2   52  173 1740    343
a   101042  101045  0.38    a   243 1   51  174 1000    243
a   101042  101046  0.26    a   143 2   51  175 2000    143
a   101042  101122  0.3 a   143 2   50  176 2300    143
a   101043  101042  0.09    a   343 2   52  177 1740    343
a   101043  101052  0.38    a   343 2   52  178 1740    343
a   101043  500006  0.2 a   900 5   12  179 10000   900
a   101044  101012  0.53    a   143 3   71  180 4650    143
a   101044  101046  0.11    a   143 2   51  181 2000    143
a   101044  101062  0.23    a   343 2   50  182 2300    343
a   101045  101042  0.38    a   243 1   51  183 1000    243
a   101045  101066  0.17    a   343 2   51  184 2000    343
a   101045  101562  0.33    a   343 1   51  185 1000    343
a   101046  101042  0.26    a   143 2   51  186 2000    143
a   101046  101044  0.11    a   143 1   51  187 1000    143
a   101052  101035  0.1 a   443 1   52  188 870 443
a   101052  101043  0.38    a   343 2   52  189 1740    343
a   101052  101092  0.27    a   343 2   52  190 1740    343
a   101052  500002  0.2 a   900 5   13  191 10000   900
a   101053  101034  0.16    a   343 2   52  192 1740    343
a   101053  101054  0.07    a   343 2   52  193 1740    343
a   101054  101044  0.12    a   343 1   50  194 1150    343
a   101054  101053  0.07    a   343 2   52  195 1740    343
a   101054  101066  0.25    a   343 2   52  196 1740    343
a   101062  101044  0.23    a   343 2   50  197 2300    343
a   101062  101064  0.2 a   443 2   52  198 1740    443
a   101062  101163  0.48    a   343 2   50  199 2300    343
a   101062  500003  0.2 a   900 5   13  200 10000   900
a   101063  101019  0.21    a   343 2   51  201 2000    343
a   101063  101064  0.06    a   343 3   52  202 2610    343
a   101063  101066  0.1 a   343 2   52  203 1740    343
a   101064  101062  0.2 a   443 2   52  204 1740    443
a   101064  101063  0.06    a   343 3   52  205 2610    343
a   101064  500004  0.34    a   900 5   13  206 10000   900
a   101066  101045  0.17    a   343 2   51  207 2000    343
a   101066  101054  0.25    a   343 2   52  208 1740    343
a   101066  101063  0.1 a   343 2   52  209 1740    343
a   101069  101014  0.1 a   343 1   52  210 870 343
a   101069  101019  0.07    a   343 1   52  211 870 343
a   101092  101052  0.27    a   343 2   52  212 1740    343
a   101092  101093  0.17    a   343 2   52  213 1740    343
a   101092  101106  0.3 a   343 2   52  214 1740    343
a   101093  101092  0.17    a   343 2   52  215 1740    343
a   101093  101094  0.07    a   343 1   52  216 870 343
a   101093  101186  0.2 a   343 2   52  217 1740    343
a   101094  101093  0.07    a   343 1   52  218 870 343
a   101094  101095  0.05    a   343 1   52  219 870 343
