t links init
c   fr       to      len  mode  type lanes vdfunc ul1 ul2 ul3 
a 710201 602013   0.50 c            900 1.0  95       0       0       0
a 710202 602023   0.60 c            900 1.0  95       0       0       0
a 710202 602042   0.80 c            900 1.0  95       0       0       0
a 710203 602022   0.73 cg           900 1.0  95       0       0       0
a 710204 602042   0.30 cg           900 1.0  95       0       0       0
a 710205 602052   0.30 cg           900 1.0  95       0       0       0
a 710206 602052   0.40 cg           900 1.0  95       0       0       0
a 710206 602124   0.50 cg           900 1.0  95       0       0       0
a 710207 602124   0.40 cg           900 1.0  95       0       0       0
a 710208 602092   0.40 cg           900 1.0  95       0       0       0
a 710209 602092   0.15 c            900 1.0  95       0       0       0
a 710210 602103   0.40 cg           900 1.0  95       0       0       0
a 710211 602042   0.40 c            900 1.0  95       0       0       0
a 710211 602124   0.50 c            900 1.0  95       0       0       0
a 710212 602122   0.20 cg           900 1.0  95       0       0       0
a 710213 602104   0.50 c            900 1.0  95       0       0       0
a 710213 602163   0.40 c            900 1.0  95       0       0       0
a 710214 602104   0.20 c            900 1.0  95       0       0       0
a 710215 602104   0.20 c            900 1.0  95       0       0       0
a 710216 602162   0.40 c            900 1.0  95       0       0       0
a 710216 602165   0.40 c            900 1.0  95       0       0       0
a 710217 602174   0.43 c            900 1.0  95       0       0       0
a 710217 602182   0.30 cg           900 1.0  95       0       0       0
a 710218 602175   0.70 c            900 1.0  95       0       0       0
a 710218 602182   0.30 cg           900 1.0  95       0       0       0
a 710219 602173   0.50 cg           900 1.0  95       0       0       0
a 710220 602172   0.70 c            900 1.0  95       0       0       0
a 710220 602173   0.70 c            900 1.0  95       0       0       0
a 710221 602172   1.00 c            900 1.0  95       0       0       0
a 710221 602213   0.50 cg           900 1.0  95       0       0       0
a 710222 602213   0.50 cg           900 1.0  95       0       0       0
a 710222 602223   0.40 cg           900 1.0  95       0       0       0
a 710223 602223   0.40 cg           900 1.0  95       0       0       0
a 710224 602172   0.50 c            900 1.0  95       0       0       0
a 710224 602242   0.30 c            900 1.0  95       0       0       0
a 710225 602263   0.15 cg           900 1.0  95       0       0       0
a 710226 602262   0.80 c            900 1.0  95       0       0       0
a 710226 602263   0.80 cg           900 1.0  95       0       0       0
a 710227 602264   0.10 cg           900 1.0  95       0       0       0
a 710228 602282   0.40 cg           900 1.0  95       0       0       0
a 710228 602283   0.50 cg           900 1.0  95       0       0       0
a 710228 602284   0.40 cg           900 1.0  95       0       0       0
a 710229 602242   0.40 cg           900 1.0  95       0       0       0
a 710230 602302   0.30 cg           900 1.0  95       0       0       0
a 710231 602312   0.30 c            900 1.0  95       0       0       0
a 710232 602302   0.50 c            900 1.0  95       0       0       0
a 710232 602322   0.60 cg           900 1.0  95       0       0       0
a 710233 602322   1.00 c            900 1.0  95       0       0       0
a 710234 602342   0.40 cg           900 1.0  95       0       0       0
a 710235 602355   0.16 cg           900 1.0  95       0       0       0
a 710236 602369   0.31 cg           900 1.0  95       0       0       0
a 710237 602372   0.52 cg           900 1.0  95       0       0       0
a 710238 602362   1.00 cg           900 1.0  95       0       0       0
a 710239 602224   0.80 cg           900 1.0  95       0       0       0
a 710239 602393   0.60 cg           900 1.0  95       0       0       0
a 710240 602402   0.30 cg           900 1.0  95       0       0       0
a 710241 602393   0.30 cg           900 1.0  95       0       0       0
a 710242 602424   0.20 cg           900 1.0  95       0       0       0
a 710243 602433   0.30 cg           900 1.0  95       0       0       0
a 710244 602445   0.46 c            900 1.0  95       0       0       0
a 710245 602445   0.60 c            900 1.0  95       0       0       0
a 710245 602446   0.60 c            900 1.0  95       0       0       0
a 710247 602422   0.71 cg           900 1.0  95       0       0       0
a 710248 602484   0.11 cg           900 1.0  95       0       0       0
a 710249 602494   0.10 c            900 1.0  95       0       0       0
a 710250 602232   0.50 cg           900 1.0  95       0       0       0
a 710250 602486   0.50 cg           900 1.0  95       0       0       0
a 710250 602504   0.25 cg           900 1.0  95       0       0       0
a 710251 602232   0.40 cg           900 1.0  95       0       0       0
a 710251 602522   0.30 cg           900 1.0  95       0       0       0
a 710252 602225   0.70 c            900 1.0  95       0       0       0
a 710252 602282   1.50 c            900 1.0  95       0       0       0
a 710252 602532   1.50 c            900 1.0  95       0       0       0
a 710252 602536   1.00 c            900 1.0  95       0       0       0
a 710253 602522   0.90 c            900 1.0  95       0       0       0
a 710253 602536   0.21 cg           900 1.0  95       0       0       0
a 710254 602493   0.61 cg           900 1.0  95       0       0       0
a 710255 602552   0.30 cg           900 1.0  95       0       0       0
a 710256 602564   0.30 cg           900 1.0  95       0       0       0
a 710257 602703   0.20 cg           900 1.0  95       0       0       0
a 710258 602583   0.25 cg           900 1.0  95       0       0       0
a 710259 602702   0.27 cg           900 1.0  95       0       0       0
a 710260 602592   0.50 cg           900 1.0  95       0       0       0
a 710261 602627   0.13 c            900 1.0  95       0       0       0
a 710262 602627   0.31 cg           900 1.0  95       0       0       0
a 710263 602616   0.43 cg           900 1.0  95       0       0       0
a 710263 602633   0.30 cg           900 1.0  95       0       0       0
a 710264 602642   0.25 cg           900 1.0  95       0       0       0
a 710265 602642   0.88 c            900 1.0  95       0       0       0
a 710265 602643   0.91 c            900 1.0  95       0       0       0
a 710266 602665   0.90 c            900 1.0  95       0       0       0
a 710267 602665   1.00 c            900 1.0  95       0       0       0
a 710267 602673   0.70 c            900 1.0  95       0       0       0
a 710269 602663   0.90 c            900 1.0  95       0       0       0
a 710270 602614   0.60 c            900 1.0  95       0       0       0
a 710270 602635   0.33 c            900 1.0  95       0       0       0
a 710270 602638   0.33 c            900 1.0  95       0       0       0
a 710271 602627   0.45 c            900 1.0  95       0       0       0
a 710271 602632   0.52 c            900 1.0  95       0       0       0
a 710271 602643   0.85 c            900 1.0  95       0       0       0
a 710272 602384   0.41 c            900 1.0  95       0       0       0
a 710273 602366   0.49 cg           900 1.0  95       0       0       0
a 710274 602332   0.92 cg           900 1.0  95       0       0       0
a 710275 602346   0.66 cg           900 1.0  95       0       0       0
a 710276 602556   0.20 cg           900 1.0  95       0       0       0
a 710277 602544   0.20 cg           900 1.0  95       0       0       0
a 710278 602543   0.20 cg           900 1.0  95       0       0       0
a 710279 602545   0.16 c            900 1.0  95       0       0       0
a 710280 602372   0.47 c            900 1.0  95       0       0       0
a 710281 602443   0.66 cg           900 1.0  95       0       0       0
a 710282 602174   0.40 c            900 1.0  95       0       0       0
a 710282 602175   0.40 c            900 1.0  95       0       0       0
a 710283 602175   0.12 cg           900 1.0  95       0       0       0
a 710284 602195   0.16 c            900 1.0  95       0       0       0
a 710285 602192   0.60 cg           900 1.0  95       0       0       0
a 710286 602025   0.60 cg           900 1.0  95       0       0       0
a 710287 602125   0.25 cg           900 1.0  95       0       0       0
a 710288 602092   0.84 c            900 1.0  95       0       0       0
a 710288 602103   0.95 cg           900 1.0  95       0       0       0
a 710289 602484   0.36 cg           900 1.0  95       0       0       0
a 710289 602488   0.80 cg           900 1.0  95       0       0       0
a 710290 602448   0.20 cg           900 1.0  95       0       0       0
a 710301 603016   0.50 c            900 1.0  95       0       0       0
a 710301 603053   0.60 c            900 1.0  95       0       0       0
a 710302 603023   0.30 c            900 1.0  95       0       0       0
a 710302 603033   0.60 c            900 1.0  95       0       0       0
a 710303 603032   0.54 cg           900 1.0  95       0       0       0
a 710303 603042   0.60 cg           900 1.0  95       0       0       0
a 710304 603042   0.58 cg           900 1.0  95       0       0       0
a 710305 603052   0.30 cg           900 1.0  95       0       0       0
a 710306 603062   0.30 cg           900 1.0  95       0       0       0
a 710307 603074   0.40 cg           900 1.0  95       0       0       0
a 710308 603043   0.40 cg           900 1.0  95       0       0       0
a 710308 603074   0.50 cg           900 1.0  95       0       0       0
a 710308 603082   0.20 cg           900 1.0  95       0       0       0
a 710309 603092   0.23 cg           900 1.0  95       0       0       0
a 710310 603112   0.77 cg           900 1.0  95       0       0       0
a 710311 603112   0.30 cg           900 1.0  95       0       0       0
a 710312 603125   0.40 c            900 1.0  95       0       0       0
a 710313 603133   0.50 c            900 1.0  95       0       0       0
a 710313 603136   0.50 cg           900 1.0  95       0       0       0
a 710314 603142   0.20 cg           900 1.0  95       0       0       0
a 710315 603152   0.40 c            900 1.0  95       0       0       0
a 710315 603172   0.40 c            900 1.0  95       0       0       0
a 710316 603166   0.35 cg           900 1.0  95       0       0       0
a 710317 603173   0.30 cg           900 1.0  95       0       0       0
a 710318 603183   0.40 cg           900 1.0  95       0       0       0
a 710319 603183   0.70 cg           900 1.0  95       0       0       0
a 710319 603193   0.80 c            900 1.0  95       0       0       0
a 710320 603183   1.30 c            900 1.0  95       0       0       0
a 710320 603202   0.30 cg           900 1.0  95       0       0       0
a 710320 604263   0.90 c            900 1.0  95       0       0       0
a 710321 603212   0.30 c            900 1.0  95       0       0       0
a 710322 603023   0.40 c            900 1.0  95       0       0       0
a 710322 603233   0.30 c            900 1.0  95       0       0       0
a 710323 603233   0.20 cg           900 1.0  95       0       0       0
a 710323 603234   0.50 cg           900 1.0  95       0       0       0
a 710324 603433   0.30 cg           900 1.0  95       0       0       0
a 710324 603462   0.30 cg           900 1.0  95       0       0       0
a 710325 603252   0.40 c            900 1.0  95       0       0       0
a 710325 603502   0.50 cg           900 1.0  95       0       0       0
a 710326 603262   0.50 c            900 1.0  95       0       0       0
a 710327 603273   1.30 c            900 1.0  95       0       0       0
a 710328 603283   0.40 c            900 1.0  95       0       0       0
a 710329 603293   0.30 cg           900 1.0  95       0       0       0
a 710330 603313   0.80 c            900 1.0  95       0       0       0
a 710330 603316   0.50 c            900 1.0  95       0       0       0
a 710331 603317   0.22 c            900 1.0  95       0       0       0
a 710332 603323   0.40 cg           900 1.0  95       0       0       0
a 710332 603332   0.20 c            900 1.0  95       0       0       0
a 710333 603332   0.30 c            900 1.0  95       0       0       0
a 710333 603346   0.35 c            900 1.0  95       0       0       0
a 710334 603345   0.60 cg           900 1.0  95       0       0       0
a 710334 603346   0.75 cg           900 1.0  95       0       0       0
a 710335 603324   0.15 c            900 1.0  95       0       0       0
a 710335 603356   0.35 cg           900 1.0  95       0       0       0
a 710336 603352   0.25 cg           900 1.0  95       0       0       0
a 710336 603366   0.20 cg           900 1.0  95       0       0       0
a 710337 603375   0.30 c            900 1.0  95       0       0       0
a 710338 603373   0.20 cg           900 1.0  95       0       0       0
a 710339 603393   0.50 c            900 1.0  95       0       0       0
a 710339 603395   0.50 c            900 1.0  95       0       0       0
a 710340 626064   1.27 cg           900 1.0  95       0       0       0
a 710341 603413   0.25 c            900 1.0  95       0       0       0
a 710342 603423   0.50 c            900 1.0  95       0       0       0
a 710343 603432   0.40 c            900 1.0  95       0       0       0
a 710344 603442   0.70 c            900 1.0  95       0       0       0
a 710344 603454   0.90 c            900 1.0  95       0       0       0
a 710345 603454   0.30 cg           900 1.0  95       0       0       0
a 710345 603455   0.80 c            900 1.0  95       0       0       0
a 710346 603462   0.20 cg           900 1.0  95       0       0       0
a 710346 603463   0.20 cg           900 1.0  95       0       0       0
a 710347 603473   0.10 cg           900 1.0  95       0       0       0
a 710347 603483   0.10 cg           900 1.0  95       0       0       0
a 710348 603473   0.60 cg           900 1.0  95       0       0       0
a 710348 603485   0.30 cg           900 1.0  95       0       0       0
a 710349 603487   0.35 cg           900 1.0  95       0       0       0
a 710350 603465   0.40 cg           900 1.0  95       0       0       0
a 710350 603502   0.30 cg           900 1.0  95       0       0       0
a 710351 603515   0.60 c            900 1.0  95       0       0       0
a 710352 603522   0.50 cg           900 1.0  95       0       0       0
a 710353 603522   0.60 c            900 1.0  95       0       0       0
a 710354 603533   0.40 c            900 1.0  95       0       0       0
a 710355 603514   1.26 c            900 1.0  65       0       0       0
a 710356 603565   0.25 cg           900 1.0  95       0       0       0
a 710357 603023   0.60 c            900 1.0  95       0       0       0
a 710358 603045   0.31 cg           900 1.0  95       0       0       0
a 710359 603093   0.67 cg           900 1.0  95       0       0       0
a 710359 603112   0.70 c            900 1.0  95       0       0       0
a 710360 603093   0.20 cg           900 1.0  95       0       0       0
a 710361 603265   0.50 c            900 1.0  95       0       0       0
a 710362 603142   0.48 cg           900 1.0  95       0       0       0
a 710363 603272   0.14 c            900 1.0  95       0       0       0
a 710364 603537   2.00 c            900 1.0  65       0       0       0
a 710365 603313   1.20 c            900 1.0  95       0       0       0
a 710365 603316   1.20 c            900 1.0  95       0       0       0
a 710366 603277   0.88 c            900 1.0  95       0       0       0
a 710367 603415   0.41 cg           900 1.0  95       0       0       0
a 710368 603193   1.02 cg           900 1.0  95       0       0       0
a 710369 603195   0.30 cg           900 1.0  95       0       0       0
a 710401 604013   0.29 cg           900 1.0  95       0       0       0
a 710402 604024   0.50 c            900 1.0  95       0       0       0
a 710403 604024   0.60 c            900 1.0  95       0       0       0
a 710403 604037   0.50 c            900 1.0  95       0       0       0
a 710404 604022   0.50 c            900 1.0  95       0       0       0
a 710404 604063   0.80 c            900 1.0  95       0       0       0
a 710405 604056   0.10 cg           900 1.0  95       0       0       0
a 710406 604063   0.18 cg           900 1.0  95       0       0       0
a 710407 604073   0.51 cg           900 1.0  95       0       0       0
a 710408 604363   0.80 c            900 1.0  95       0       0       0
a 710409 604273   0.40 c            900 1.0  95       0       0       0
a 710409 604283   0.80 c            900 1.0  95       0       0       0
a 710410 604273   1.30 c            900 1.0  95       0       0       0
a 710410 604283   1.00 c            900 1.0  95       0       0       0
a 710411 604115   0.40 cg           900 1.0  95       0       0       0
a 710412 604124   0.40 cg           900 1.0  95       0       0       0
a 710413 604036   0.40 cg           900 1.0  95       0       0       0
a 710414 604143   0.30 cg           900 1.0  95       0       0       0
a 710415 604154   0.40 c            900 1.0  95       0       0       0
a 710416 604162   0.40 c            900 1.0  95       0       0       0
a 710417 604175   0.40 cg           900 1.0  95       0       0       0
a 710418 604182   0.30 cg           900 1.0  95       0       0       0
a 710419 604193   0.30 cg           900 1.0  95       0       0       0
a 710420 604204   0.52 c            900 1.0  95       0       0       0
a 710420 604208   0.32 c            900 1.0  95       0       0       0
a 710421 604225   0.30 cg           900 1.0  95       0       0       0
a 710422 604222   0.30 cg           900 1.0  95       0       0       0
a 710422 604225   0.90 c            900 1.0  95       0       0       0
a 710423 604236   0.10 cg           900 1.0  95       0       0       0
a 710424 604223   0.70 c            900 1.0  95       0       0       0
a 710425 604223   0.90 c            900 1.0  95       0       0       0
a 710425 604346   0.80 c            900 1.0  95       0       0       0
a 710426 604262   0.20 cg           900 1.0  95       0       0       0
a 710427 604282   0.20 c            900 1.0  95       0       0       0
a 710428 604283   0.40 cg           900 1.0  95       0       0       0
a 710429 604293   0.40 c            900 1.0  95       0       0       0
a 710430 604302   0.20 cg           900 1.0  95       0       0       0
a 710430 604312   0.30 cg           900 1.0  95       0       0       0
a 710431 604283   0.20 cg           900 1.0  95       0       0       0
a 710432 604092   1.40 c            900 1.0  95       0       0       0
a 710432 604302   0.70 c            900 1.0  95       0       0       0
a 710433 604332   0.70 c            900 1.0  95       0       0       0
a 710433 604422   1.50 c            900 1.0  95       0       0       0
a 710434 604343   0.50 c            900 1.0  95       0       0       0
a 710434 604347   0.40 c            900 1.0  95       0       0       0
a 710435 604042   0.30 cg           900 1.0  95       0       0       0
a 710436 604362   0.17 cg           900 1.0  95       0       0       0
a 710437 604363   0.28 c            900 1.0  95       0       0       0
a 710438 604363   0.35 c            900 1.0  95       0       0       0
a 710439 604392   0.80 c            900 1.0  95       0       0       0
a 710439 604403   1.20 c            900 1.0  95       0       0       0
a 710440 604402   0.64 cg           900 1.0  95       0       0       0
a 710441 604423   0.60 c            900 1.0  95       0       0       0
a 710442 604412   0.35 cg           900 1.0  95       0       0       0
a 710443 604432   0.49 cg           900 1.0  95       0       0       0
a 710444 604424   1.00 c            900 1.0  95       0       0       0
a 710444 604434   1.00 c            900 1.0  95       0       0       0
a 710445 604453   0.20 c            900 1.0  95       0       0       0
a 710446 604462   0.50 c            900 1.0  95       0       0       0
a 710447 604472   0.40 cg           900 1.0  95       0       0       0
a 710448 604482   0.50 c            900 1.0  95       0       0       0
a 710449 604482   1.00 c            900 1.0  95       0       0       0
a 710451 604012   0.10 cg           900 1.0  95       0       0       0
a 710452 604072   0.15 cg           900 1.0  95       0       0       0
a 710453 604402   0.88 cg           900 1.0  95       0       0       0
a 710454 604362   0.18 cg           900 1.0  95       0       0       0
a 710456 604342   0.40 cg           900 1.0  95       0       0       0
a 710457 604393   0.16 c            900 1.0  95       0       0       0
a 710458 604402   0.40 cg           900 1.0  95       0       0       0
a 710459 604114   0.40 c            900 1.0  95       0       0       0
a 710460 604423   0.37 cg           900 1.0  95       0       0       0
a 710461 604302   0.30 cg           900 1.0  95       0       0       0
a 710462 604432   0.39 cg           900 1.0  95       0       0       0
a 710463 604054   0.15 cg           900 1.0  95       0       0       0
a 710464 604072   0.30 cg           900 1.0  95       0       0       0
a 711401 614022   0.80 c            900 1.0  95       0       0       0
a 711402 614027   0.37 cg           900 1.0  95       0       0       0
a 711403 614014   1.00 cg           900 1.0  95       0       0       0
a 711404 614049   4.00 c            900 1.0  95       0       0       0
a 711405 614053   0.61 cg           900 1.0  95       0       0       0
a 711406 614082   0.40 c            900 1.0  95       0       0       0
a 711407 614057   0.40 c            900 1.0  95       0       0       0
a 711408 614084   0.40 c            900 1.0  95       0       0       0
a 711409 614103   0.30 cg           900 1.0  95       0       0       0
a 711410 614103   0.30 c            900 1.0  95       0       0       0
a 711411 614112   0.45 cg           900 1.0  95       0       0       0
a 711412 614123   0.40 c            900 1.0  95       0       0       0
a 711413 614137   0.20 cg           900 1.0  95       0       0       0
a 711414 614142   0.20 cg           900 1.0  95       0       0       0
a 711415 614154   0.20 cg           900 1.0  95       0       0       0
a 711416 614127   1.41 c            900 1.0  95       0       0       0
a 711416 614163   1.20 c            900 1.0  95       0       0       0
a 711417 614173   0.17 cg           900 1.0  95       0       0       0
a 711418 614186   0.31 c            900 1.0  95       0       0       0
a 711419 614185   0.80 c            900 1.0  95       0       0       0
a 711420 614203   0.45 c            900 1.0  95       0       0       0
a 711421 614213   1.00 cg           900 1.0  95       0       0       0
a 711422 614223   1.55 cg           900 1.0  95       0       0       0
a 711423 614222   1.37 cg           900 1.0  95       0       0       0
a 711423 614225   1.13 c            900 1.0  95       0       0       0
a 711424 614182   0.25 c            900 1.0  95       0       0       0
a 711425 614168   0.46 c            900 1.0  95       0       0       0
a 711426 614162   0.33 cg           900 1.0  95       0       0       0
a 711427 614023   0.12 c            900 1.0  95       0       0       0
a 711428 614052   0.23 c            900 1.0  95       0       0       0
a 711429 614052   0.42 cg           900 1.0  95       0       0       0
a 711429 614059   1.05 c            900 1.0  95       0       0       0
a 711430 614148   0.93 cg           900 1.0  95       0       0       0
a 711501 615012   0.50 c            900 1.0  95       0       0       0
a 711501 615014   0.30 c            900 1.0  95       0       0       0
a 711502 615055   0.10 c            900 1.0  95       0       0       0
a 711503 615993   0.49 c            900 1.0  95       0       0       0
a 711504 615022   2.51 cg           900 1.0  95       0       0       0
a 711505 615999   0.59 c            900 1.0  95       0       0       0
a 711506 615999   0.38 cg           900 1.0  95       0       0       0
a 711507 615102   2.00 c            900 1.0  95       0       0       0
a 711508 615033   0.80 c            900 1.0  95       0       0       0
a 711509 615092   0.30 cg           900 1.0  95       0       0       0
a 711510 615102   2.00 cg           900 1.0  95       0       0       0
a 711511 615113   0.50 cg           900 1.0  95       0       0       0
a 711512 615143   0.60 c            900 1.0  95       0       0       0
a 711513 615133   0.70 cg           900 1.0  95       0       0       0
a 711514 615145   1.00 cg           900 1.0  95       0       0       0
a 711515 615153   1.00 cg           900 1.0  95       0       0       0
a 711516 615162   1.00 cg           900 1.0  95       0       0       0
a 711517 615172   0.38 cg           900 1.0  95       0       0       0
a 711518 615182   0.20 cg           900 1.0  95       0       0       0
a 711519 615194   1.00 cg           900 1.0  95       0       0       0
a 711520 615042   0.28 cg           900 1.0  95       0       0       0
a 711521 660295   1.33 cg           900 1.0  95       0       0       0
a 711522 615076   2.25 cg           900 1.0  95       0       0       0
a 711523 615192   0.21 cg           900 1.0  95       0       0       0
a 711524 615052   0.15 cg           900 1.0  95       0       0       0
a 711525 615022   0.74 cg           900 1.0  95       0       0       0
a 711526 615022   0.41 cg           900 1.0  95       0       0       0
a 711527 615089   0.27 cg           900 1.0  95       0       0       0
a 711701 617016   0.68 cg           900 1.0  95       0       0       0
a 711702 617027   0.38 cg           900 1.0  95       0       0       0
a 711703 617032   0.40 cg           900 1.0  95       0       0       0
a 711703 617033   0.40 cg           900 1.0  95       0       0       0
a 711704 617042   0.40 cg           900 1.0  95       0       0       0
a 711704 617044   0.20 cg           900 1.0  95       0       0       0
a 711705 617053   0.40 c            900 1.0  95       0       0       0
a 711705 617117   0.20 cg           900 1.0  95       0       0       0
a 711706 617066   0.20 c            900 1.0  95       0       0       0
a 711707 617072   0.30 cg           900 1.0  95       0       0       0
a 711708 617084   0.16 cg           900 1.0  95       0       0       0
a 711709 617094   1.36 c            900 1.0  95       0       0       0
a 711710 617069   0.87 c            900 1.0  95       0       0       0
a 711711 617114   0.65 c            900 1.0  95       0       0       0
a 711712 617122   0.50 cg           900 1.0  95       0       0       0
a 711713 617136   0.60 cg           900 1.0  95       0       0       0
a 711714 617142   0.90 cg           900 1.0  95       0       0       0
a 711715 617142   0.80 cg           900 1.0  95       0       0       0
a 711716 617166   1.92 c            900 1.0  95       0       0       0
a 711717 617037   0.78 c            900 1.0  95       0       0       0
a 711718 617184   0.80 cg           900 1.0  95       0       0       0
a 711718 617185   0.80 cg           900 1.0  95       0       0       0
a 711719 687012  30.00 cg           900 1.0  95       0       0       0
a 711720 617049   2.55 c            900 1.0  95       0       0       0
a 711721 617013   0.67 cg           900 1.0  95       0       0       0
a 711722 617024   0.38 cg           900 1.0  95       0       0       0
a 711723 617162   2.39 cg           900 1.0  95       0       0       0
a 711724 617069   1.05 c            900 1.0  95       0       0       0
a 711725 617067   0.53 c            900 1.0  95       0       0       0
a 711726 617072   0.40 cg           900 1.0  95       0       0       0
a 711726 617096   0.61 c            900 1.0  95       0       0       0
a 711727 617099   0.45 cg           900 1.0  95       0       0       0
a 711728 617103   0.46 c            900 1.0  95       0       0       0
a 711729 617138   2.95 cg           900 1.0  95       0       0       0
a 712001 620013   1.10 cg           900 1.0  95       0       0       0
a 712002 620012   1.64 cg           900 1.0  95       0       0       0
a 712003 620025   0.20 cg           900 1.0  95       0       0       0
a 712004 620042   0.50 c            900 1.0  95       0       0       0
a 712005 620052   0.70 cg           900 1.0  95       0       0       0
a 712006 620062   0.30 cg           900 1.0  95       0       0       0
a 712007 620064   0.77 cg           900 1.0  95       0       0       0
a 712008 620082   1.05 cg           900 1.0  95       0       0       0
a 712009 620093   0.20 c            900 1.0  95       0       0       0
a 712010 620103   3.12 cg           900 1.0  95       0       0       0
a 712011 620112   0.75 cg           900 1.0  95       0       0       0
a 712012 620049   0.20 c            900 1.0  95       0       0       0
a 712013 620124   0.50 cg           900 1.0  95       0       0       0
a 712014 620142   0.40 cg           900 1.0  95       0       0       0
a 712015 620144   0.80 c            900 1.0  95       0       0       0
a 712016 620125   6.64 cbg          900 1.0  95       0       0       0
a 712017 620146  11.07 cg           900 1.0  95       0       0       0
a 712018 620146  10.00 cg           900 1.0  95       0       0       0
a 712019 620029   1.50 c            900 1.0  95       0       0       0
a 712019 620123   1.00 c            900 1.0  95       0       0       0
a 712020 620067  10.70 cg           900 1.0  95       0       0       0
a 712021 620124   1.31 cg           900 1.0  95       0       0       0
a 712022 620013   0.57 cg           900 1.0  95       0       0       0
a 712023 620022   0.47 cg           900 1.0  95       0       0       0
a 712024 620012   0.46 cg           900 1.0  95       0       0       0
a 712025 620023   0.52 cg           900 1.0  95       0       0       0
a 712026 620024   0.81 cg           900 1.0  95       0       0       0
a 712027 620024   1.03 cg           900 1.0  95       0       0       0
a 712028 620082   0.43 cg           900 1.0  95       0       0       0
a 712029 620042   0.74 cg           900 1.0  95       0       0       0
a 712030 620062   4.09 cg           900 1.0  95       0       0       0
a 712031 620072   1.41 c            900 1.0  95       0       0       0
a 712301 623012   0.40 cg           900 1.0  95       0       0       0
a 712301 623032   0.40 cg           900 1.0  95       0       0       0
a 712302 623012   0.70 cg           900 1.0  95       0       0       0
a 712303 623032   0.28 c            900 1.0  95       0       0       0
