t links init vdfunc =(3 - > 6)
c fr to len mode  type lanes vdfunc ul1 ul2 ul3 
a 0 1 1 a 900 1 50 0 10000 900
a 0 3 1 a 900 1 50 0 10000 900
a 0 2 1 a 900 1 50 0 10000 900
a 1 6 1 a 900 1 50 0 10000 900
a 1 4 1 a 900 1 50 0 10000 900
a 2 4 1 a 900 1 50 0 10000 900
a 2 5 1 a 900 1 50 0 10000 900
a 3 5 1 a 900 1 50 0 10000 900
a 2 7 1 a 900 1 50 0 10000 900
a 3 8 1 a 900 1 50 0 10000 900
a 4 6 1 a 900 1 50 0 10000 900
a 4 7 1 a 900 1 50 0 10000 900
a 5 7 1 a 900 1 50 0 10000 900
a 5 8 1 a 900 1 50 0 10000 900
a 6 9 1 a 900 1 50 0 10000 900
a 8 9 1 a 900 1 50 0 10000 900
a 7 9 1 a 900 1 50 0 10000 900
