t   links   init    vdfunc  =(3 -   >   6)          
c   fr  to  len mode    type    lanes   vdfunc  ul1 ul2 ul3
a   0   1   1.5 a   900 1   52  1   10000   900
a   0   3   1.5 a   900 1   52  2   10000   900
a   0   2   1   a   900 1   52  3   10000   900
a   1   6   1   a   900 1   52  4   10000   900
a   1   4   0.75    a   900 1   52  5   10000   900
a   2   4   0.75    a   900 1   52  6   10000   900
a   2   5   0.75    a   900 1   52  7   10000   900
a   3   5   0.75    a   900 1   52  8   10000   900
a   2   7   1   a   900 1   52  9  10000   900
a   3   8   1   a   900 1   52  10  10000   900
a   4   6   0.75    a   900 1   52  11  10000   900
a   4   7   0.75    a   900 1   52  12  10000   900
a   5   7   0.75    a   900 1   52  13  10000   900
a   5   8   0.75    a   900 1   52  14  10000   900
a   6   9   1.5 a   900 1   52  15  10000   900
a   8   9   1.5 a   900 1   52  16  10000   900
a   7   9   1   a   900 1   52  17  10000   900
